Tweet Id,Username,Datetime,Text
1616223151347863555,GhostOfKabubu2,2023-01-19 23:56:41+00:00,..and you can't undo that. They got mad and I nearly lost a character that I liked due to an accident/flaw in the UI/UX design. The other much larger problem is I grew to like the characters I accumulated that it feels so wrong to start again with different people...(2/3)
1616223109836595201,Vets4AP,2023-01-19 23:56:32+00:00,"@FluffySinfulPie @ClarqueAllen @BenignVanilla @ChristineEliaz @UncleZoGunTales @SM4Tech @BucksGirl3 @candymh46 @HotepDadMax @VegasStrong702 @TylerDavisBooks I agree, it is a fucked up accident but it was directly caused by his negligence."
1616223089783701505,nhalimah879,2023-01-19 23:56:27+00:00,‘Rust’ Prosecutor on Alec Baldwin Charges: ‘Just Because It’s an Accident Doesn’t Mean That It’s Not Criminal’ https://t.co/2QpXvhnmbU
1616223048754921472,HydroUnofficial,2023-01-19 23:56:17+00:00,"😵 Northern Power failure in Taylor near 9600 - 9700 block 99 AVE, 9700 block 99TH AVE.
Customers affected: 40.
Cause: Motor vehicle accident.
https://t.co/hOlwd3TIpy #bchydro #britishcolumbia #canada #poweroutage"
1616223045412323329,dreadreaa,2023-01-19 23:56:16+00:00,"@_vick_vick_ I can only imagine, I could never 😭 there was a terrible accident when I was leaving the gym off craycroft and grant …pretty sure there was a fatality. I think they had the intersection closed off for hours"
1616223041297448962,pittarel1,2023-01-19 23:56:15+00:00,"@MartyTa94849826 If they can't kill us with guns, they do it with cigarettes. Unfortunately, when we're all gone, they will have to work for the 1%ers, grovel to corporate overlords and MAGA EVANGELICALS. Children, adults die from gun violence, cancer, workplace accidents, abuse, wars and suicide"
1616223039351361547,CommentsClean,2023-01-19 23:56:15+00:00,"@CNN But should he be punished just because he is one?
It was an accident for christs sake

The DA wants to make some name for himself or must be a trumpie"
1616223033676496896,FWPDScanner,2023-01-19 23:56:13+00:00,FWPD: TRAFFIC ACCIDENT reported at UNORGANIZED near BUTLER RD &amp; HILLEGAS RD. https://t.co/fgFj6EruAD
1616223019365695489,rverrier,2023-01-19 23:56:10+00:00,So why did prosecutors decide to charge Alec Baldwin in the ‘Rust’ accident? Here is what they shared with ⁦@anoushasakoui⁩ ⁦@MegJamesLAT⁩  https://t.co/e2Nzkuh0zt
1616223018774327296,AgentSmith_NZ,2023-01-19 23:56:10+00:00,"@WHO @DrMikeRyan On that logic, it should be illegal to drive, because someone might have an accident."
